,loan_amount,status,activity_name,sector_name,country,lender_term,num_lenders_total,num_journal_entries,repayment_interval,female_count,male_count,shortage_fund,posted_raised_hours,mpi,population_in_mpi,Education,Health,Living standards,population_in_severe_mpi,borrower_count,class
6460,600.0,funded,Games,Entertainment,Nicaragua,26.0,20,1,monthly,0,1,0.0,47.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
9237,475.0,funded,Personal Medical Expenses,Health,Nicaragua,17.0,18,1,monthly,0,1,0.0,428.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,2
13221,225.0,funded,General Store,Retail,Philippines,5.0,2,1,irregular,1,0,0.0,166.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6480,550.0,funded,Entertainment,Entertainment,Uganda,14.0,14,2,monthly,0,1,0.0,147.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
16540,400.0,funded,Rickshaw,Transportation,Pakistan,14.0,15,2,monthly,1,0,0.0,673.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
9399,400.0,funded,Personal Medical Expenses,Health,Tajikistan,14.0,13,1,monthly,0,1,0.0,416.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
1172,350.0,funded,Farming,Agriculture,Philippines,14.0,10,2,irregular,1,0,0.0,107.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6982,425.0,funded,Entertainment,Entertainment,Uganda,10.0,10,1,monthly,0,1,0.0,286.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
7,225.0,funded,Animal Sales,Agriculture,Tajikistan,8.0,1,2,monthly,1,0,0.0,151.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
5992,175.0,funded,Higher education costs,Education,Tajikistan,14.0,5,1,monthly,0,1,0.0,166.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
3559,275.0,funded,Used Clothing,Clothing,Uganda,5.0,1,1,irregular,1,0,0.0,22.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
16662,325.0,funded,Goods Distribution,Wholesale,Pakistan,14.0,12,2,monthly,1,0,0.0,178.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
17162,500.0,funded,Goods Distribution,Wholesale,Cambodia,20.0,16,1,monthly,1,0,0.0,276.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
16966,650.0,funded,Goods Distribution,Wholesale,Indonesia,14.0,15,8,monthly,0,1,0.0,413.0,0.024,5.9,24.7,35.1,40.2,1.1,1,2
14963,650.0,funded,Waste Management,Services,Kenya,26.0,25,1,monthly,0,1,0.0,700.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
17634,375.0,funded,Goods Distribution,Wholesale,Dominican Republic,9.0,7,1,irregular,1,0,0.0,43.0,0.025,6.0,28.4,39.6,32.0,1.0,1,2
3872,800.0,funded,Construction Supplies,Construction,Nicaragua,24.0,28,1,monthly,0,1,0.0,1065.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
13487,425.0,funded,General Store,Retail,Philippines,10.0,11,1,irregular,1,0,0.0,12.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
4015,825.0,funded,Carpentry,Construction,Nicaragua,5.0,19,1,irregular,1,0,0.0,21.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
14538,400.0,funded,Internet Cafe,Services,Philippines,13.0,16,1,irregular,1,0,0.0,25.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
2866,150.0,funded,Clothing Sales,Clothing,Philippines,8.0,5,1,irregular,1,0,0.0,6.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
17177,775.0,funded,Wholesale,Wholesale,South Sudan,13.0,26,1,irregular,1,0,0.0,37.0,0.551,89.3,39.3,14.3,46.3,69.6,1,1
12910,350.0,funded,Personal Expenses,Personal Use,Nigeria,15.0,9,1,bullet,1,0,0.0,156.0,0.279,50.9,29.8,29.8,40.4,30.0,1,3
1016,925.0,funded,Flowers,Agriculture,Colombia,27.0,31,2,bullet,0,1,0.0,604.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
8130,475.0,funded,Fruits & Vegetables,Food,Philippines,8.0,14,1,irregular,1,0,0.0,148.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3133,150.0,funded,Used Clothing,Clothing,Uganda,8.0,6,1,monthly,0,1,0.0,8.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
1301,450.0,funded,Embroidery,Arts,Pakistan,14.0,15,2,monthly,1,0,0.0,65.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
3115,150.0,funded,Used Clothing,Clothing,Uganda,8.0,6,1,monthly,1,0,0.0,329.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
4484,425.0,funded,Construction,Construction,Philippines,14.0,12,1,irregular,1,0,0.0,173.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
3428,225.0,funded,Clothing Sales,Clothing,Pakistan,14.0,8,2,monthly,1,0,0.0,292.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
8123,125.0,funded,Grocery Store,Food,Kenya,3.0,11,1,irregular,1,0,0.0,398.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
17299,550.0,funded,Wholesale,Wholesale,Peru,12.0,20,2,monthly,1,0,0.0,84.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
14718,925.0,funded,Services,Services,Indonesia,14.0,29,1,bullet,0,1,0.0,732.0,0.024,5.9,24.7,35.1,40.2,1.1,1,0
16855,675.0,funded,Wholesale,Wholesale,Egypt,14.0,15,2,monthly,0,1,0.0,70.0,0.016,4.2,45.6,46.7,7.8,0.4,1,2
1125,250.0,funded,Pigs,Agriculture,Philippines,11.0,8,1,irregular,1,0,0.0,21.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
12261,525.0,funded,Wedding Expenses,Personal Use,Tajikistan,14.0,20,1,monthly,0,1,0.0,1469.0,0.031,7.9,13.4,52.6,34.0,1.2,1,3
2151,300.0,funded,Patchwork,Arts,Peru,10.0,12,6,bullet,1,0,0.0,74.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
11755,900.0,funded,Manufacturing,Manufacturing,Colombia,15.0,30,1,bullet,1,0,0.0,246.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
6823,700.0,funded,Games,Entertainment,Cambodia,20.0,27,1,monthly,1,0,0.0,54.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
10686,150.0,funded,Manufacturing,Manufacturing,Philippines,8.0,3,1,irregular,1,0,0.0,234.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
14802,125.0,funded,Services,Services,Kenya,3.0,3,1,irregular,1,0,0.0,660.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
13315,500.0,funded,Home Products Sales,Retail,Zimbabwe,14.0,13,2,monthly,1,0,0.0,90.0,0.128,28.9,10.8,34.5,54.8,7.8,1,1
6425,350.0,funded,Musical Performance,Entertainment,Pakistan,15.0,12,2,monthly,1,0,0.0,362.0,0.237,45.6,36.2,32.3,31.6,26.5,1,0
11159,300.0,funded,Manufacturing,Manufacturing,India,20.0,11,1,monthly,1,0,0.0,24.0,0.282,55.3,22.7,32.5,44.8,27.8,1,1
7713,175.0,funded,Food Production/Sales,Food,Peru,7.0,4,1,monthly,0,1,0.0,173.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
2001,550.0,funded,Crafts,Arts,Ecuador,8.0,21,2,irregular,0,1,0.0,520.0,0.015,3.7,23.6,42.4,34.0,0.5,1,0
12167,200.0,funded,Home Appliances,Personal Use,Cambodia,8.0,8,1,monthly,3,2,0.0,256.0,0.15,33.8,30.8,26.4,42.8,11.4,5,3
10076,175.0,funded,Personal Housing Expenses,Housing,Mozambique,18.0,7,1,monthly,1,0,0.0,90.0,0.39,70.2,30.4,22.3,47.3,44.1,1,1
4187,425.0,funded,Bricks,Construction,Peru,8.0,15,2,monthly,1,0,0.0,322.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
5993,725.0,funded,Higher education costs,Education,Jordan,18.0,3,2,monthly,0,1,0.0,498.0,0.004,1.2,31.5,65.0,3.5,0.1,1,2
10508,275.0,funded,Personal Housing Expenses,Housing,Nicaragua,13.0,8,3,monthly,0,1,0.0,200.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
4276,500.0,funded,Construction,Construction,Pakistan,14.0,10,1,monthly,1,0,0.0,106.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
13426,775.0,funded,General Store,Retail,Uganda,10.0,22,1,monthly,0,1,0.0,886.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
4815,425.0,funded,Higher education costs,Education,Cambodia,10.0,10,1,monthly,1,0,0.0,62.0,0.15,33.8,30.8,26.4,42.8,11.4,1,2
5315,500.0,funded,Higher education costs,Education,Cambodia,15.0,16,2,monthly,0,1,0.0,262.0,0.15,33.8,30.8,26.4,42.8,11.4,1,2
13809,250.0,funded,Shoe Sales,Retail,Kenya,14.0,6,1,monthly,1,0,0.0,544.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
8386,425.0,funded,Natural Medicines,Health,Philippines,8.0,15,1,irregular,1,0,0.0,119.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
16814,275.0,funded,Wholesale,Wholesale,Cambodia,12.0,10,1,monthly,1,0,0.0,186.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
16141,600.0,funded,Motorcycle Transport,Transportation,Philippines,11.0,14,1,irregular,1,0,0.0,572.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
1924,150.0,funded,Weaving,Arts,Cambodia,14.0,6,2,monthly,1,0,0.0,36.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
9699,225.0,funded,Personal Housing Expenses,Housing,Philippines,14.0,9,1,irregular,1,0,0.0,399.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8251,600.0,funded,Pharmacy,Health,Kenya,15.0,20,1,irregular,1,0,0.0,184.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
3482,775.0,funded,Used Clothing,Clothing,Ghana,8.0,25,1,irregular,3,0,0.0,180.0,0.147,32.4,27.2,31.5,41.2,11.1,3,1
11210,500.0,funded,Blacksmith,Manufacturing,Pakistan,11.0,18,2,irregular,1,0,0.0,124.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
14899,225.0,funded,Beauty Salon,Services,Colombia,11.0,7,1,monthly,1,0,0.0,335.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
11902,275.0,funded,Personal Expenses,Personal Use,Nigeria,14.0,10,1,bullet,0,1,0.0,378.0,0.279,50.9,29.8,29.8,40.4,30.0,1,3
1344,225.0,funded,Weaving,Arts,Philippines,8.0,1,1,irregular,1,0,0.0,203.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
7188,500.0,funded,Cereals,Food,Kenya,14.0,12,3,monthly,1,0,0.0,271.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
10450,275.0,funded,Personal Housing Expenses,Housing,Nicaragua,17.0,7,1,monthly,1,0,0.0,743.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
8951,225.0,funded,Personal Medical Expenses,Health,Senegal,8.0,6,1,monthly,1,0,0.0,32.0,0.278,51.9,43.6,23.1,33.4,30.8,1,1
224,125.0,funded,Agriculture,Agriculture,Cambodia,14.0,5,1,monthly,0,1,0.0,276.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
9735,575.0,funded,Personal Housing Expenses,Housing,Uganda,14.0,11,1,monthly,1,0,0.0,328.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
17116,100.0,funded,Goods Distribution,Wholesale,Philippines,8.0,4,2,irregular,1,0,0.0,131.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
10021,600.0,funded,Personal Housing Expenses,Housing,Mexico,8.0,15,1,monthly,0,1,0.0,312.0,0.024,6.0,31.4,25.6,43.0,1.1,1,0
14805,800.0,funded,Printing,Services,Nicaragua,11.0,27,2,monthly,0,1,0.0,935.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
4136,425.0,funded,Cement,Construction,Nicaragua,13.0,14,1,irregular,0,1,0.0,600.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
4034,375.0,funded,Construction,Construction,Peru,15.0,6,2,monthly,0,1,0.0,182.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
16626,425.0,funded,Goods Distribution,Wholesale,Philippines,8.0,13,3,irregular,1,0,0.0,15.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
2336,325.0,funded,Weaving,Arts,Cambodia,8.0,10,1,bullet,1,0,0.0,35.0,0.15,33.8,30.8,26.4,42.8,11.4,1,0
6318,875.0,funded,Games,Entertainment,Nicaragua,18.0,32,1,monthly,0,1,0.0,1083.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
15626,125.0,funded,Transportation,Transportation,Philippines,8.0,1,1,irregular,1,0,0.0,346.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
16724,800.0,funded,Wholesale,Wholesale,Uganda,14.0,25,1,monthly,1,0,0.0,81.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
12494,125.0,funded,Home Appliances,Personal Use,Cambodia,8.0,5,1,monthly,2,1,0.0,87.0,0.15,33.8,30.8,26.4,42.8,11.4,3,3
15837,425.0,funded,Motorcycle Transport,Transportation,Philippines,14.0,17,1,irregular,1,0,0.0,91.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8798,375.0,funded,Personal Medical Expenses,Health,Mexico,15.0,15,1,monthly,0,1,0.0,157.0,0.024,6.0,31.4,25.6,43.0,1.1,1,2
2840,200.0,funded,Clothing Sales,Clothing,Kenya,8.0,2,1,monthly,1,0,0.0,75.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
13249,675.0,funded,General Store,Retail,Honduras,14.0,16,2,monthly,1,0,0.0,148.0,0.098,20.7,36.6,23.1,40.3,7.2,1,0
4595,375.0,funded,Carpentry,Construction,Peru,8.0,14,1,monthly,0,1,0.0,220.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
690,900.0,funded,Farming,Agriculture,Kenya,11.0,23,2,bullet,8,5,0.0,621.0,0.166,36.0,12.3,32.2,55.5,10.7,13,3
16834,75.0,funded,Goods Distribution,Wholesale,Indonesia,8.0,3,1,irregular,1,0,0.0,20.0,0.024,5.9,24.7,35.1,40.2,1.1,1,2
8239,575.0,funded,Medical Clinic,Health,Tajikistan,20.0,13,1,monthly,0,1,0.0,650.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
839,950.0,funded,Poultry,Agriculture,Kenya,14.0,33,1,monthly,0,1,0.0,91.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
9906,625.0,funded,Personal Housing Expenses,Housing,Nicaragua,14.0,21,2,monthly,0,1,0.0,578.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
13233,200.0,funded,General Store,Retail,Philippines,8.0,5,1,irregular,1,0,0.0,190.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
16555,125.0,funded,Transportation,Transportation,Philippines,8.0,5,2,irregular,1,0,0.0,113.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
2753,475.0,funded,Clothing Sales,Clothing,Nicaragua,8.0,2,2,irregular,3,0,0.0,673.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,3,1
8121,375.0,funded,Food Production/Sales,Food,Peru,8.0,9,1,monthly,1,0,0.0,18.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
4125,650.0,funded,Construction,Construction,Mozambique,20.0,8,2,monthly,1,0,0.0,996.0,0.39,70.2,30.4,22.3,47.3,44.1,1,1
16442,225.0,funded,Motorcycle Transport,Transportation,Philippines,8.0,8,1,monthly,0,1,0.0,138.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6563,650.0,funded,Games,Entertainment,Colombia,14.0,21,1,monthly,0,1,0.0,163.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
10565,150.0,funded,Personal Housing Expenses,Housing,Philippines,13.0,2,1,irregular,1,0,0.0,205.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
7689,475.0,funded,Fruits & Vegetables,Food,Philippines,8.0,16,1,irregular,1,0,0.0,86.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
16113,125.0,funded,Motorcycle Transport,Transportation,Philippines,8.0,2,2,irregular,1,0,0.0,48.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
681,400.0,funded,Farming,Agriculture,Kenya,14.0,5,1,monthly,1,0,0.0,569.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
17424,425.0,funded,Wholesale,Wholesale,Philippines,7.0,14,2,irregular,1,0,0.0,295.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
2543,325.0,funded,Clothing Sales,Clothing,Kenya,15.0,13,2,irregular,1,0,0.0,33.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
15506,200.0,funded,Motorcycle Transport,Transportation,Philippines,8.0,5,2,irregular,0,1,0.0,44.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
17400,850.0,funded,Goods Distribution,Wholesale,Tajikistan,12.0,25,2,monthly,1,0,0.0,90.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
16648,225.0,funded,Goods Distribution,Wholesale,Indonesia,8.0,9,3,irregular,0,1,0.0,32.0,0.024,5.9,24.7,35.1,40.2,1.1,1,2
4010,550.0,funded,Construction,Construction,Pakistan,14.0,13,1,monthly,1,0,0.0,378.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
11427,425.0,funded,Furniture Making,Manufacturing,Tajikistan,7.0,16,2,monthly,1,0,0.0,46.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
4612,750.0,funded,Carpentry,Construction,Mexico,9.0,15,1,irregular,1,0,0.0,115.0,0.024,6.0,31.4,25.6,43.0,1.1,1,0
8912,750.0,funded,Personal Medical Expenses,Health,Philippines,23.0,26,1,monthly,1,0,0.0,76.0,0.033,6.3,35.3,30.2,34.5,4.2,1,2
10946,600.0,funded,Manufacturing,Manufacturing,Zimbabwe,9.0,23,1,monthly,0,1,0.0,5.0,0.128,28.9,10.8,34.5,54.8,7.8,1,1
11009,150.0,funded,Furniture Making,Manufacturing,Nepal,14.0,4,1,monthly,1,0,0.0,7.0,0.116,26.6,32.2,25.6,42.2,9.3,1,0
4797,475.0,funded,Construction Supplies,Construction,Yemen,15.0,16,1,monthly,0,1,0.0,742.0,0.2,40.0,29.5,32.2,38.2,19.4,1,1
6867,375.0,funded,Entertainment,Entertainment,Kenya,8.0,15,1,monthly,0,1,0.0,642.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
147,725.0,funded,Farming,Agriculture,Kenya,11.0,15,1,bullet,9,3,0.0,139.0,0.166,36.0,12.3,32.2,55.5,10.7,12,3
8574,325.0,funded,Personal Medical Expenses,Health,Tajikistan,20.0,12,1,monthly,0,1,0.0,627.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
8505,375.0,funded,Personal Medical Expenses,Health,Tajikistan,14.0,11,4,monthly,1,0,0.0,181.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
7449,325.0,funded,Beverages,Food,Uganda,11.0,11,1,irregular,1,0,0.0,146.0,0.359,70.3,18.0,30.2,51.9,33.3,1,1
1798,725.0,funded,Embroidery,Arts,Pakistan,15.0,29,2,monthly,2,0,0.0,119.0,0.237,45.6,36.2,32.3,31.6,26.5,2,1
5311,650.0,funded,Higher education costs,Education,Tajikistan,38.0,24,4,monthly,0,1,0.0,521.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
6979,550.0,funded,Entertainment,Entertainment,Peru,8.0,22,1,monthly,1,0,0.0,280.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
1003,500.0,funded,Cattle,Agriculture,Cambodia,14.0,17,1,monthly,1,0,0.0,583.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
6151,250.0,funded,Games,Entertainment,Kenya,8.0,10,1,monthly,0,1,0.0,127.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
7608,950.0,funded,Grocery Store,Food,Peru,8.0,19,1,monthly,0,1,0.0,214.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
16101,400.0,funded,Rickshaw,Transportation,Pakistan,15.0,15,2,monthly,1,0,0.0,786.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
7287,325.0,funded,Cereals,Food,Philippines,8.0,9,1,irregular,1,0,0.0,226.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
17108,400.0,funded,Goods Distribution,Wholesale,Peru,6.0,14,2,irregular,1,0,0.0,226.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
17360,625.0,funded,Goods Distribution,Wholesale,Tajikistan,9.0,18,1,monthly,1,0,0.0,310.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
15476,275.0,funded,Motorcycle Transport,Transportation,Philippines,7.0,11,1,irregular,0,1,0.0,162.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
14418,875.0,funded,Beauty Salon,Services,Nicaragua,8.0,32,4,irregular,3,0,0.0,333.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,3,1
13740,700.0,funded,Retail,Retail,Azerbaijan,9.0,15,1,irregular,0,1,0.0,161.0,0.009000000000000001,2.4,20.0,50.7,29.3,0.2,1,0
3617,650.0,funded,Construction Supplies,Construction,Philippines,8.0,25,1,irregular,1,0,0.0,302.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
9159,650.0,funded,Pharmacy,Health,Peru,6.0,22,2,irregular,1,0,0.0,651.0,0.043,10.4,19.4,29.8,50.8,2.1,1,2
6364,425.0,funded,Entertainment,Entertainment,Kenya,8.0,16,6,monthly,1,0,0.0,37.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
1522,875.0,funded,Crafts,Arts,Ecuador,6.0,15,1,irregular,1,0,0.0,87.0,0.015,3.7,23.6,42.4,34.0,0.5,1,0
2795,425.0,funded,Clothing Sales,Clothing,Tajikistan,11.0,9,2,monthly,1,0,0.0,8.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
5259,175.0,funded,Primary/secondary school costs,Education,Nigeria,14.0,6,2,bullet,0,1,0.0,215.0,0.279,50.9,29.8,29.8,40.4,30.0,1,1
652,925.0,funded,Farming,Agriculture,Uganda,11.0,26,1,irregular,7,0,0.0,40.0,0.359,70.3,18.0,30.2,51.9,33.3,7,1
2628,325.0,funded,Used Clothing,Clothing,Ghana,6.0,13,2,irregular,1,0,0.0,93.0,0.147,32.4,27.2,31.5,41.2,11.1,1,1
16205,300.0,funded,Rickshaw,Transportation,Pakistan,14.0,7,1,monthly,1,0,0.0,204.0,0.237,45.6,36.2,32.3,31.6,26.5,1,1
12710,275.0,funded,Home Appliances,Personal Use,Cambodia,8.0,10,1,monthly,2,3,0.0,291.0,0.15,33.8,30.8,26.4,42.8,11.4,5,3
2751,850.0,funded,Clothing Sales,Clothing,Pakistan,13.0,28,1,irregular,5,0,0.0,25.0,0.237,45.6,36.2,32.3,31.6,26.5,5,1
4711,400.0,funded,Construction Supplies,Construction,Nicaragua,11.0,9,1,monthly,0,1,0.0,28.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
696,775.0,funded,Cattle,Agriculture,Tajikistan,14.0,27,4,monthly,1,0,0.0,628.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
8272,675.0,funded,Pharmacy,Health,Sierra Leone,14.0,26,1,monthly,0,1,0.0,241.0,0.411,77.5,25.7,28.5,45.9,43.9,1,1
15222,175.0,funded,Tailoring,Services,Philippines,8.0,7,1,irregular,1,0,0.0,79.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
7269,150.0,funded,Grocery Store,Food,Philippines,7.0,4,2,irregular,1,0,0.0,137.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
4080,525.0,funded,Construction Supplies,Construction,Nicaragua,19.0,14,1,monthly,0,1,0.0,287.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,0
6864,225.0,funded,Entertainment,Entertainment,Philippines,8.0,9,1,irregular,1,0,0.0,153.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
16765,350.0,funded,Goods Distribution,Wholesale,Ghana,9.0,14,1,irregular,0,1,0.0,19.0,0.147,32.4,27.2,31.5,41.2,11.1,1,1
3467,75.0,funded,Clothing Sales,Clothing,Indonesia,15.0,3,2,monthly,1,0,0.0,45.0,0.024,5.9,24.7,35.1,40.2,1.1,1,2
2370,450.0,funded,Embroidery,Arts,India,43.0,13,1,bullet,2,0,0.0,475.0,0.282,55.3,22.7,32.5,44.8,27.8,2,1
9370,325.0,funded,Pharmacy,Health,Nigeria,10.0,6,2,monthly,1,0,0.0,141.0,0.279,50.9,29.8,29.8,40.4,30.0,1,1
4994,650.0,funded,Higher education costs,Education,Nicaragua,21.0,22,1,monthly,0,1,0.0,599.0,0.08800000000000001,19.4,37.8,12.6,49.6,6.9,1,2
11264,125.0,funded,Manufacturing,Manufacturing,Philippines,8.0,4,1,irregular,0,1,0.0,116.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
6473,375.0,funded,Entertainment,Entertainment,Kenya,8.0,15,1,irregular,1,0,0.0,108.0,0.166,36.0,12.3,32.2,55.5,10.7,1,1
